"U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
2.3499,0.013509,0,-0.8656,-0.92671,0,-0.8656,-0.92671,0,-0.80614,1,0.00495,0.12,0.00495,0
2.3504,0.013291,0,-0.86991,-0.93735,0,-0.86991,-0.93735,0,-0.80725,1,0.005,0.12,0.005,0
2.3508,0.013058,0,-0.87546,-0.95095,0,-0.87546,-0.95095,0,-0.80852,1,0.00505,0.12,0.00505,0
2.3513,0.012826,0,-0.881,-0.96455,0,-0.881,-0.96455,0,-0.80978,1,0.0051,0.12,0.0051,0
2.3517,0.012594,0,-0.88654,-0.97815,0,-0.88654,-0.97815,0,-0.81105,1,0.00515,0.12,0.00515,0
2.3521,0.012361,0,-0.89208,-0.99175,0,-0.89208,-0.99175,0,-0.81232,1,0.0052,0.12,0.0052,0
2.3526,0.012129,0,-0.89762,-1.0054,0,-0.89762,-1.0054,0,-0.81358,1,0.00525,0.12,0.00525,0
2.353,0.011897,0,-0.90316,-1.019,0,-0.90316,-1.019,0,-0.81485,1,0.0053,0.12,0.0053,0
2.3534,0.011664,0,-0.90871,-1.0326,0,-0.90871,-1.0326,0,-0.81612,1,0.00535,0.12,0.00535,0
2.3539,0.011432,0,-0.91425,-1.0462,0,-0.91425,-1.0462,0,-0.81738,1,0.0054,0.12,0.0054,0
2.3543,0.0112,0,-0.91979,-1.0598,0,-0.91979,-1.0598,0,-0.81865,1,0.00545,0.12,0.00545,0
2.3547,0.010967,0,-0.92533,-1.0734,0,-0.92533,-1.0734,0,-0.81991,1,0.0055,0.12,0.0055,0
2.3552,0.010735,0,-0.93087,-1.087,0,-0.93087,-1.087,0,-0.82118,1,0.00555,0.12,0.00555,0
2.3556,0.010503,0,-0.93641,-1.1006,0,-0.93641,-1.1006,0,-0.82245,1,0.0056,0.12,0.0056,0
2.356,0.010271,0,-0.94196,-1.1142,0,-0.94196,-1.1142,0,-0.82371,1,0.00565,0.12,0.00565,0
2.3564,0.010038,0,-0.9475,-1.1278,0,-0.9475,-1.1278,0,-0.82498,1,0.0057,0.12,0.0057,0
2.3569,0.0098059,0,-0.95304,-1.1414,0,-0.95304,-1.1414,0,-0.82625,1,0.00575,0.12,0.00575,0
2.3573,0.0095736,0,-0.95858,-1.155,0,-0.95858,-1.155,0,-0.82751,1,0.0058,0.12,0.0058,0
2.3577,0.0093413,0,-0.96412,-1.1686,0,-0.96412,-1.1686,0,-0.82878,1,0.00585,0.12,0.00585,0
2.3582,0.009109,0,-0.96967,-1.1822,0,-0.96967,-1.1822,0,-0.83005,1,0.0059,0.12,0.0059,0
2.3586,0.0088767,0,-0.97521,-1.1958,0,-0.97521,-1.1958,0,-0.83131,1,0.00595,0.12,0.00595,0
2.359,0.0086444,0,-0.98075,-1.2094,0,-0.98075,-1.2094,0,-0.83258,1,0.006,0.12,0.006,0
2.3596,0.0084142,0,-0.98903,-1.2265,0,-0.98903,-1.2265,0,-0.83401,1,0.00605,0.12,0.00605,0
2.3601,0.0081841,0,-0.99732,-1.2436,0,-0.99732,-1.2436,0,-0.83545,1,0.0061,0.12,0.0061,0
2.3606,0.0079539,0,-1.0056,-1.2606,0,-1.0056,-1.2606,0,-0.83689,1,0.00615,0.12,0.00615,0
2.3612,0.0077238,0,-1.0139,-1.2777,0,-1.0139,-1.2777,0,-0.83832,1,0.0062,0.12,0.0062,0
2.3617,0.0074936,0,-1.0222,-1.2948,0,-1.0222,-1.2948,0,-0.83976,1,0.00625,0.12,0.00625,0
2.3622,0.0072635,0,-1.0305,-1.3119,0,-1.0305,-1.3119,0,-0.8412,1,0.0063,0.12,0.0063,0
2.3627,0.0070334,0,-1.0388,-1.329,0,-1.0388,-1.329,0,-0.84263,1,0.00635,0.12,0.00635,0
2.3633,0.0068032,0,-1.047,-1.3461,0,-1.047,-1.3461,0,-0.84407,1,0.0064,0.12,0.0064,0
2.3638,0.0065731,0,-1.0553,-1.3632,0,-1.0553,-1.3632,0,-0.8455,1,0.00645,0.12,0.00645,0
2.3643,0.0063429,0,-1.0636,-1.3803,0,-1.0636,-1.3803,0,-0.84694,1,0.0065,0.12,0.0065,0
2.3648,0.0061128,0,-1.0719,-1.3974,0,-1.0719,-1.3974,0,-0.84838,1,0.00655,0.12,0.00655,0
2.3654,0.0058826,0,-1.0802,-1.4145,0,-1.0802,-1.4145,0,-0.84981,1,0.0066,0.12,0.0066,0
2.3659,0.0056525,0,-1.0885,-1.4316,0,-1.0885,-1.4316,0,-0.85125,1,0.00665,0.12,0.00665,0
2.3664,0.0054223,0,-1.0968,-1.4487,0,-1.0968,-1.4487,0,-0.85268,1,0.0067,0.12,0.0067,0
2.367,0.0051922,0,-1.105,-1.4658,0,-1.105,-1.4658,0,-0.85412,1,0.00675,0.12,0.00675,0
2.3675,0.0049621,0,-1.1133,-1.4829,0,-1.1133,-1.4829,0,-0.85556,1,0.0068,0.12,0.0068,0
2.368,0.0047319,0,-1.1216,-1.5,0,-1.1216,-1.5,0,-0.85699,1,0.00685,0.12,0.00685,0
2.3685,0.0045018,0,-1.1299,-1.5171,0,-1.1299,-1.5171,0,-0.85843,1,0.0069,0.12,0.0069,0
2.3691,0.0042716,0,-1.1382,-1.5341,0,-1.1382,-1.5341,0,-0.85987,1,0.00695,0.12,0.00695,0
2.3696,0.0040415,0,-1.1465,-1.5512,0,-1.1465,-1.5512,0,-0.8613,1,0.007,0.12,0.007,0
2.3702,0.0038092,0,-1.1589,-1.5731,0,-1.1589,-1.5731,0,-0.86291,1,0.00705,0.12,0.00705,0
2.3709,0.0035769,0,-1.1714,-1.5949,0,-1.1714,-1.5949,0,-0.86451,1,0.0071,0.12,0.0071,0
2.3715,0.0033446,0,-1.1838,-1.6168,0,-1.1838,-1.6168,0,-0.86612,1,0.00715,0.12,0.00715,0
2.3721,0.0031122,0,-1.1963,-1.6386,0,-1.1963,-1.6386,0,-0.86772,1,0.0072,0.12,0.0072,0
2.3727,0.0028799,0,-1.2088,-1.6605,0,-1.2088,-1.6605,0,-0.86933,1,0.00725,0.12,0.00725,0
2.3734,0.0026476,0,-1.2212,-1.6823,0,-1.2212,-1.6823,0,-0.87094,1,0.0073,0.12,0.0073,0
2.374,0.0024153,0,-1.2337,-1.7041,0,-1.2337,-1.7041,0,-0.87254,1,0.00735,0.12,0.00735,0
2.3746,0.002183,0,-1.2461,-1.726,0,-1.2461,-1.726,0,-0.87415,1,0.0074,0.12,0.0074,0
2.3752,0.0019507,0,-1.2586,-1.7478,0,-1.2586,-1.7478,0,-0.87575,1,0.00745,0.12,0.00745,0
2.3759,0.0017184,0,-1.271,-1.7697,0,-1.271,-1.7697,0,-0.87736,1,0.0075,0.12,0.0075,0
2.3765,0.0014861,0,-1.2835,-1.7915,0,-1.2835,-1.7915,0,-0.87897,1,0.00755,0.12,0.00755,0
2.3771,0.0012538,0,-1.296,-1.8134,0,-1.296,-1.8134,0,-0.88057,1,0.0076,0.12,0.0076,0
2.3777,0.0010215,0,-1.3084,-1.8352,0,-1.3084,-1.8352,0,-0.88218,1,0.00765,0.12,0.00765,0
2.3784,0.00078916,0,-1.3209,-1.857,0,-1.3209,-1.857,0,-0.88378,1,0.0077,0.12,0.0077,0
2.379,0.00055685,0,-1.3333,-1.8789,0,-1.3333,-1.8789,0,-0.88539,1,0.00775,0.12,0.00775,0
