"Points:0","Points:1","Points:2","U:0","U:1","U:2","ddt0(U):0","ddt0(U):1","ddt0(U):2","ddtCorrDdt0(U):0","ddtCorrDdt0(U):1","ddtCorrDdt0(U):2","p"
0.083333336,0.0099999998,-0.0015,1.5658801,-0.045613874,0,-0.63998526,1.1130775,0,-0.63998526,1.1130775,0,1.9779575
0.084313728,0.0099999998,-0.0015,1.5591825,-0.054720253,0,-0.71054703,1.2322625,0,-0.71054703,1.2322625,0,1.9884875
0.08529412,0.0099999998,-0.0015,1.5513074,-0.065689154,0,-0.78927374,1.364485,0,-0.78927374,1.364485,0,2.0006499
0.086274512,0.0099999998,-0.0015,1.542065,-0.078964278,0,-0.87727273,1.5112875,0,-0.87727273,1.5112875,0,2.0146074
0.087254904,0.0099999998,-0.0015,1.53125,-0.095113024,0,-0.975743,1.6745601,0,-0.975743,1.6745601,0,2.0304999
0.088235296,0.0099999998,-0.0015,1.5186325,-0.11486603,0,-1.0859947,1.85651,0,-1.0859947,1.85651,0,2.0484099
0.089215688,0.0099999998,-0.0015,1.5039475,-0.13917249,0,-1.2094901,2.0596976,0,-1.2094901,2.0596976,0,2.0683224
0.090196081,0.0099999998,-0.0015,1.4869125,-0.16927549,0,-1.34789,2.2872875,0,-1.34789,2.2872875,0,2.090045
0.091176473,0.0099999998,-0.0015,1.467205,-0.206828,0,-1.5031149,2.5433874,0,-1.5031149,2.5433874,0,2.1130476
0.092156865,0.0099999998,-0.0015,1.4445325,-0.25404298,0,-1.67724,2.83355,0,-1.67724,2.83355,0,2.13624
0.093137257,0.0099999998,-0.0015,1.4184849,-0.31402525,0,-1.8725076,3.1661975,0,-1.8725076,3.1661975,0,2.157515
0.094117649,0.0099999998,-0.0015,1.3890575,-0.39100826,0,-2.0910749,3.5522299,0,-2.0910749,3.5522299,0,2.1731501
0.095098041,0.0099999998,-0.0015,1.354735,-0.4918395,0,-2.330795,4.0121627,0,-2.330795,4.0121627,0,2.1755424
0.096078433,0.0099999998,-0.0015,1.3199875,-0.62511176,0,-2.6098924,4.5721025,0,-2.6098924,4.5721025,0,2.1524899
0.097058825,0.0099999998,-0.0015,1.26854,-0.81367099,0,-2.8756275,5.32551,0,-2.8756275,5.32551,0,2.0664575
0.098039217,0.0099999998,-0.0015,1.2692827,-1.0689344,0,-3.42535,6.3135376,0,-3.42535,6.3135376,0,1.8706075
0.099019609,0.0099999998,-0.0015,1.1184353,-1.5883524,0,-3.2600031,8.1671524,0,-3.2600031,8.1671524,0,1.2230568
0.1,0.0099999998,-0.0015,0,0,0,0,0,0,0,0,0,-0.87251002
0,0.011,-0.0015,1.4776,0,0,0,0,0,0,0,0,2.1050549
0.00098039221,0.011,-0.0015,1.4777601,0.00096414826,0,-2.3759901e-06,8.9233479e-05,0,-2.3759901e-06,8.9233479e-05,0,2.1049099
0.0019607844,0.011,-0.0015,1.478125,0.0019065475,0,-7.8068451e-06,0.000185657,0,-7.8068451e-06,0.000185657,0,2.1043925
0.0029411765,0.011,-0.0015,1.47877,0.0028026751,0,-1.7688924e-05,0.00029223101,0,-1.7688924e-05,0.00029223101,0,2.1034374
0.0039215689,0.011,-0.0015,1.4796575,0.0036327874,0,-3.2683325e-05,0.00040138976,0,-3.2683325e-05,0.00040138976,0,2.1021099
0.004901961,0.011,-0.0015,1.4807475,0.0043869726,0,-5.29727e-05,0.00050730299,0,-5.29727e-05,0.00050730299,0,2.1004875
0.0058823531,0.011,-0.0015,1.4820125,0.0050634625,0,-7.8469297e-05,0.00060976122,0,-7.8469297e-05,0.00060976122,0,2.0986099
0.0068627452,0.011,-0.0015,1.4834325,0.0056648552,0,-0.00010877065,0.00070891902,0,-0.00010877065,0.00070891902,0,2.0965049
0.0078431377,0.011,-0.0015,1.4849875,0.0061955824,0,-0.00014338674,0.00080283725,0,-0.00014338674,0.00080283725,0,2.0941999
0.0088235298,0.011,-0.0015,1.486655,0.0066611348,0,-0.00018193825,0.00088806427,0,-0.00018193825,0.00088806427,0,2.0917225
0.0098039219,0.011,-0.0015,1.48842,0.0070678527,0,-0.00022414551,0.00096157601,0,-0.00022414551,0.00096157601,0,2.0891001
0.010784314,0.011,-0.0015,1.49027,0.00742247,0,-0.0002696015,0.0010224202,0,-0.0002696015,0.0010224202,0,2.0863476
0.011764706,0.011,-0.0015,1.4921925,0.0077315299,0,-0.00031781825,0.00107179,0,-0.00031781825,0.00107179,0,2.0834851
0.012745098,0.011,-0.0015,1.4941776,0.0080010146,0,-0.00036843325,0.0011123475,0,-0.00036843325,0.0011123475,0,2.0805275
0.01372549,0.011,-0.0015,1.4962175,0.0082361847,0,-0.00042117023,0.0011475926,0,-0.00042117023,0.0011475926,0,2.0774825
0.014705882,0.011,-0.0015,1.4983075,0.0084415497,0,-0.00047588424,0.0011813375,0,-0.00047588424,0.0011813375,0,2.0743651
0.015686275,0.011,-0.0015,1.5004375,0.0086209178,0,-0.00053229602,0.00121781,0,-0.00053229602,0.00121781,0,2.0711799
0.016666668,0.011,-0.0015,1.502605,0.0087774647,0,-0.00059043599,0.0012613251,0,-0.00059043599,0.0012613251,0,2.0679326
0.01764706,0.011,-0.0015,1.5048051,0.0089138299,0,-0.00065066974,0.001316185,0,-0.00065066974,0.001316185,0,2.064635
0.018627452,0.011,-0.0015,1.5070325,0.0090321572,0,-0.00071352051,0.0013867625,0,-0.00071352051,0.0013867625,0,2.0612926
0.019607844,0.011,-0.0015,1.5092875,0.0091341455,0,-0.00077962148,0.00147737,0,-0.00077962148,0.00147737,0,2.0579076
0.020588236,0.011,-0.0015,1.5115626,0.0092211775,0,-0.00084982079,0.0015922625,0,-0.00084982079,0.0015922625,0,2.0544851
0.021568628,0.011,-0.0015,1.513855,0.0092942873,0,-0.00092515751,0.0017353999,0,-0.00092515751,0.0017353999,0,2.0510275
0.02254902,0.011,-0.0015,1.5161625,0.0093542151,0,-0.0010070867,0.001910425,0,-0.0010070867,0.001910425,0,2.0475426
0.023529412,0.011,-0.0015,1.5184851,0.0094015049,0,-0.0010971087,0.0021208725,0,-0.0010971087,0.0021208725,0,2.0440373
0.024509804,0.011,-0.0015,1.520815,0.0094365105,0,-0.0011970149,0.0023699524,0,-0.0011970149,0.0023699524,0,2.0405099
0.025490196,0.011,-0.0015,1.5231525,0.0094593931,0,-0.00130852,0.0026606,0,-0.00130852,0.0026606,0,2.0369649
0.026470589,0.011,-0.0015,1.5254924,0.0094702207,0,-0.0014346875,0.0029951301,0,-0.0014346875,0.0029951301,0,2.0334101
0.027450981,0.011,-0.0015,1.5278325,0.0094690025,0,-0.0015744675,0.0033759426,0,-0.0015744675,0.0033759426,0,2.02985
0.028431373,0.011,-0.0015,1.530175,0.0094556278,0,-0.0017339825,0.0038054399,0,-0.0017339825,0.0038054399,0,2.0262876
0.029411765,0.011,-0.0015,1.53251,0.0094299773,0,-0.0019151275,0.0042847623,0,-0.0019151275,0.0042847623,0,2.0227251
0.030392157,0.011,-0.0015,1.5348375,0.0093918499,0,-0.0021181949,0.0048162425,0,-0.0021181949,0.0048162425,0,2.01917
0.031372551,0.011,-0.0015,1.537155,0.0093410499,0,-0.0023467401,0.0054021324,0,-0.0023467401,0.0054021324,0,2.0156274
0.032352943,0.011,-0.0015,1.5394576,0.0092775077,0,-0.0026025674,0.0060452772,0,-0.0026025674,0.0060452772,0,2.0121026
0.033333335,0.011,-0.0015,1.5417449,0.0092011653,0,-0.0028916351,0.00674961,0,-0.0028916351,0.00674961,0,2.0086
0.034313727,0.011,-0.0015,1.5440125,0.0091120927,0,-0.0032135549,0.0075190701,0,-0.0032135549,0.0075190701,0,2.00512
0.035294119,0.011,-0.0015,1.546255,0.0090105003,0,-0.0035740999,0.0083596604,0,-0.0035740999,0.0083596604,0,2.0016699
0.036274511,0.011,-0.0015,1.5484725,0.0088966601,0,-0.0039726323,0.0092771277,0,-0.0039726323,0.0092771277,0,1.9982625
0.037254903,0.011,-0.0015,1.5506575,0.008770965,0,-0.0044167149,0.01028016,0,-0.0044167149,0.01028016,0,1.994895
0.038235296,0.011,-0.0015,1.55281,0.0086338725,0,-0.00490885,0.01137715,0,-0.00490885,0.01137715,0,1.9915725
0.039215688,0.011,-0.0015,1.5549275,0.0084859403,0,-0.0054524802,0.01257945,0,-0.0054524802,0.01257945,0,1.988305
0.04019608,0.011,-0.0015,1.5570025,0.0083277877,0,-0.0060539027,0.0138999,0,-0.0060539027,0.0138999,0,1.9850924
0.041176472,0.011,-0.0015,1.5590425,0.0081601152,0,-0.0067133675,0.015351949,0,-0.0067133675,0.015351949,0,1.98194
0.042156864,0.011,-0.0015,1.5610375,0.0079836547,0,-0.0074459398,0.016953574,0,-0.0074459398,0.016953574,0,1.97885
0.043137256,0.011,-0.0015,1.5629826,0.0077991625,0,-0.0082486123,0.018720174,0,-0.0082486123,0.018720174,0,1.9758251
0.044117648,0.011,-0.0015,1.5648875,0.0076073827,0,-0.0091367625,0.020674199,0,-0.0091367625,0.020674199,0,1.9728725
0.04509804,0.011,-0.0015,1.5667425,0.0074090771,0,-0.010112163,0.0228364,0,-0.010112163,0.0228364,0,1.9699975
0.046078432,0.011,-0.0015,1.5685425,0.0072050076,0,-0.011187208,0.02523255,0,-0.011187208,0.02523255,0,1.9672
0.047058824,0.011,-0.0015,1.570295,0.0069959075,0,-0.012374651,0.02788965,0,-0.012374651,0.02788965,0,1.9644775
0.048039217,0.011,-0.0015,1.5719925,0.0067824726,0,-0.01367475,0.030836076,0,-0.01367475,0.030836076,0,1.961835
0.049019609,0.011,-0.0015,1.573635,0.0065652998,0,-0.015118025,0.034105398,0,-0.015118025,0.034105398,0,1.9592775
0.050000001,0.011,-0.0015,1.575225,0.0063447999,0,-0.0166985,0.037728049,0,-0.0166985,0.037728049,0,1.956805
0.050980393,0.011,-0.0015,1.5767574,0.0061211754,0,-0.018451549,0.041745301,0,-0.018451549,0.041745301,0,1.9544175
0.051960785,0.011,-0.0015,1.5782375,0.0058943527,0,-0.02038455,0.046195924,0,-0.02038455,0.046195924,0,1.9521151
0.052941177,0.011,-0.0015,1.5796626,0.0056640953,0,-0.022519074,0.05112835,0,-0.022519074,0.05112835,0,1.9498999
0.053921569,0.011,-0.0015,1.58103,0.0054298877,0,-0.02488385,0.056592826,0,-0.02488385,0.056592826,0,1.947775
0.054901961,0.011,-0.0015,1.58234,0.0051910323,0,-0.027495176,0.062645376,0,-0.027495176,0.062645376,0,1.94574
0.055882353,0.011,-0.0015,1.5835924,0.0049464474,0,-0.030393176,0.069347851,0,-0.030393176,0.069347851,0,1.9438
0.056862745,0.011,-0.0015,1.584785,0.004694805,0,-0.033591099,0.076764181,0,-0.033591099,0.076764181,0,1.941955
0.057843138,0.011,-0.0015,1.585915,0.0044343099,0,-0.037151676,0.084979475,0,-0.037151676,0.084979475,0,1.940205
0.05882353,0.011,-0.0015,1.586985,0.0041628378,0,-0.041065224,0.094057977,0,-0.041065224,0.094057977,0,1.93856
0.059803922,0.011,-0.0015,1.58799,0.0038777126,0,-0.0454407,0.10412345,0,-0.0454407,0.10412345,0,1.9370224
0.060784314,0.011,-0.0015,1.588925,0.003575715,0,-0.050252326,0.11523825,0,-0.050252326,0.11523825,0,1.93559
